Chart.js,139,1500
Leaflet,827,8036
arbor,58,1444
cesium,19290,125801
chartist-js,55,1022
d3,6019,20289
dc.js,2327,20151
echarts,2226,28910
envisionjs,1559,28696
kartograph.js,201,1349
modestmaps-js,352,4117
peity,19,284
raw,154,2300
recline,1202,19853
sigma.js,344,4624
vega,450,3847
