method, count
waterfall, 72
apply, 81
series, 61
map, 37
whilst, 10
eachLimit, 12
parallel, 189
each, 48
eachSeries, 20
filter, 3
doWhilst, 3
some, 1
reduce, 3
detectSeries, 1
forever, 1
every, 1
nextTick, 10
iterator, 1
mapSeries, 2
until, 3
doUntil, 2
queue, 1
parallelLimit, 2
