"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs"
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/closure/numberSymbols.js",4140,0,0,0,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/closure/pluralRules.js",1121,0,0,39,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/e2e/i18n-e2e.js",186,31,0,31,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/spec/closureI18nExtractorSpec.js",267,17,1,17,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/spec/converterSpec.js",54,4,0,4,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/spec/parserSpec.js",54,3,1,3,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/spec/utilSpec.js",15,2,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/src/closureI18nExtractor.js",231,2,10,4,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/src/closureSlurper.js",107,0,0,0,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/src/converter.js",58,0,2,0,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/src/parser.js",65,0,1,0,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/src/util.js",8,0,0,1,1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/karma-docs.conf.js",22,0,0,1,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/karma-jqlite.conf.js",19,0,0,1,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/karma-jquery.conf.js",19,0,0,1,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/karma-modules.conf.js",18,0,0,1,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/karma-shared.conf.js",179,2,0,4,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/lib/browser-stack/start-tunnel.js",49,5,0,5,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/lib/grunt/utils.js",344,7,2,27,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/lib/htmlparser/htmlparser.js",309,4,3,16,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/lib/promises-aplus/promises-aplus-test-adapter.js",27,1,0,7,5
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/lib/versions/version-info.js",201,5,1,12,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/protractor-conf.js",16,0,0,0,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/protractor-jenkins-conf.js",42,0,0,3,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/protractor-shared-conf.js",33,1,0,4,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/protractor-travis-conf.js",34,0,0,0,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/scripts/clean-shrinkwrap.js",43,0,0,0,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/Angular.js",1595,12,60,29,1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/AngularPublic.js",246,0,1,1,1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/apis.js",76,0,2,4,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/auto/injector.js",851,6,17,11,1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/jqLite.js",1027,20,28,64,3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/loader.js",319,2,3,6,1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/minErr.js",61,1,1,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/anchorScroll.js",268,4,5,6,2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/animate.js",372,8,5,23,3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/asyncCallback.js",12,0,1,3,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/browser.js",464,5,9,16,1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/cacheFactory.js",403,1,5,11,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/compile.js",2601,17,35,47,14
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/controller.js",149,1,2,5,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/a.js",34,1,0,3,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/attrs.js",425,6,0,12,2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/directives.js",12,0,1,0,0
