"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs","calls","requires","defines","fsSyncs","fsAsyncs","setTimeouts","setIntervals","setImmediates","nextTicks","argscount","argsmax","paramscount","paramsmax"
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/src/errors.js",63,8,0,8,0,18,0,0,0,0,0,0,0,0,"1 6 11 0 0 0 0 0 0 0 0",2,"0 4 3 1 0 0 0 0 0 0 0",3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/src/examples.js",78,12,0,12,0,30,0,0,0,0,0,0,0,0,"3 17 10 0 0 0 0 0 0 0 0",2,"0 8 3 1 0 0 0 0 0 0 0",3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/src/search.js",219,35,3,32,0,63,0,0,0,0,0,0,0,0,"16 29 18 0 0 0 0 0 0 0 0",2,"13 16 0 6 0 0 0 0 0 0 0",3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/src/tutorials.js",49,3,0,3,0,5,0,0,0,0,0,0,0,0,"0 2 3 0 0 0 0 0 0 0 0",2,"2 0 0 1 0 0 0 0 0 0 0",3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/src/versions.js",32,3,0,3,0,4,0,0,0,0,0,0,0,0,"1 0 3 0 0 0 0 0 0 0 0",2,"0 2 0 0 1 0 0 0 0 0 0",4
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/test/directivesSpec.js",39,6,0,6,0,25,0,0,0,0,0,0,0,0,"2 16 4 3 0 0 0 0 0 0 0",3,"5 0 1 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/test/docsSpec.js",35,6,0,6,0,27,0,0,0,0,0,0,0,0,"2 12 13 0 0 0 0 0 0 0 0",2,"3 1 2 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/index.js",169,14,0,14,0,59,21,0,0,0,0,0,0,0,"0 56 3 0 0 0 0 0 0 0 0",2,"1 8 2 1 1 0 0 1 0 0 0",7
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/inline-tag-defs/type.js",17,2,0,2,1,3,0,0,0,0,0,0,0,0,"1 2 0 0 0 0 0 0 0 0 0",1,"0 1 0 1 0 0 0 0 0 0 0",3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/processors/error-docs.js",52,4,0,4,1,10,2,0,0,0,0,0,0,0,"1 8 1 0 0 0 0 0 0 0 0",2,"0 3 1 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/processors/index-page.js",43,4,0,4,1,7,2,0,0,0,0,0,0,0,"0 6 1 0 0 0 0 0 0 0 0",2,"1 3 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/processors/keywords.js",115,9,2,7,1,33,3,0,1,0,0,0,0,0,"3 20 8 2 0 0 0 0 0 0 0",3,"0 6 2 1 0 0 0 0 0 0 0",3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/processors/pages-data.js",240,23,1,22,1,48,2,0,0,0,0,0,0,0,"4 33 8 0 3 0 0 0 0 0 0",4,"0 15 7 0 1 0 0 0 0 0 0",4
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/processors/versions-data.js",34,3,0,3,1,7,1,0,0,0,0,0,0,0,"2 5 0 0 0 0 0 0 0 0 0",1,"0 3 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/services/deployments/debug.js",39,1,0,1,1,6,0,0,0,0,0,0,0,0,"0 5 0 1 0 0 0 0 0 0 0",3,"0 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/services/deployments/default.js",39,1,0,1,1,6,0,0,0,0,0,0,0,0,"0 5 0 1 0 0 0 0 0 0 0",3,"0 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/services/deployments/jquery.js",43,1,0,1,1,8,0,0,0,0,0,0,0,0,"0 7 0 1 0 0 0 0 0 0 0",3,"0 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/services/deployments/production.js",42,1,0,1,1,7,1,0,0,0,0,0,0,0,"0 6 0 1 0 0 0 0 0 0 0",3,"0 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/services/errorNamespaceMap.js",10,1,0,1,1,1,1,0,0,0,0,0,0,0,"0 1 0 0 0 0 0 0 0 0 0",1,"1 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/services/getMinerrInfo.js",16,2,0,2,1,3,2,0,0,0,0,0,0,0,"0 2 1 0 0 0 0 0 0 0 0",2,"1 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/services/getVersion.js",17,2,0,2,1,4,2,0,0,0,0,0,0,0,"0 2 1 1 0 0 0 0 0 0 0",3,"0 1 0 1 0 0 0 0 0 0 0",3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/services/gitData.js",17,1,0,1,1,1,1,0,0,0,0,0,0,0,"0 1 0 0 0 0 0 0 0 0 0",1,"1 0 0 0 0 0 0 0 0 0 0",0
