"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs","anonCBs","minComplexity","maxComplexity","meanComplexity","calls","requires","defines","fsSyncs","fsAsyncs","setTimeouts","setIntervals","setImmediates","nextTicks","argscount","argsmax","paramscount","paramsmax"
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/models/network.js",869,49,28,21,0,12,1,14,3.306122448979592,294,0,0,0,0,0,0,0,0,"39 146 49 52 8 0 0 0 0 0 0",4,"4 36 9 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/models/networkpanellist.js",62,8,0,8,0,2,1,2,1.125,12,0,0,0,0,0,0,0,0,"0 7 0 5 0 0 0 0 0 0 0",3,"2 6 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/models/newconnection.js",51,5,0,5,0,1,1,3,1.4,9,0,0,0,0,0,0,0,0,"2 3 3 1 0 0 0 0 0 0 0",3,"2 1 2 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/models/panel.js",55,8,0,8,0,0,1,3,1.375,14,0,0,0,0,0,0,0,0,"6 7 1 0 0 0 0 0 0 0 0",2,"7 1 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/models/panellist.js",50,8,0,8,0,4,1,2,1.375,10,0,0,0,0,0,0,0,0,"2 5 2 1 0 0 0 0 0 0 0",3,"0 7 1 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/models/pluginmanager.js",44,4,0,4,0,0,1,2,1.75,10,0,0,0,0,0,0,0,0,"1 7 2 0 0 0 0 0 0 0 0",2,"2 2 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/models/query.js",20,3,0,3,0,0,1,2,1.3333333333333333,3,0,0,0,0,0,0,0,0,"0 2 1 0 0 0 0 0 0 0 0",2,"2 1 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/models/server.js",20,3,0,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,"0 1 1 0 0 0 0 0 0 0 0",2,"2 1 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/applet.js",6,1,0,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,"0 2 0 0 0 0 0 0 0 0 0",1,"0 1 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/application.js",343,29,0,29,0,9,1,7,2.310344827586207,139,0,0,0,0,2,1,0,0,"23 92 20 4 0 0 0 0 0 0 0",3,"15 12 2 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/apptoolbar.js",23,3,0,3,0,0,1,2,1.3333333333333333,7,0,0,0,0,0,0,0,0,"3 3 1 0 0 0 0 0 0 0 0",2,"1 2 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/channel.js",354,22,0,22,0,9,1,18,2.909090909090909,186,0,0,0,0,0,0,0,0,"49 105 26 6 0 0 0 0 0 0 0",3,"5 17 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/channelinfo.js",163,9,0,9,0,2,1,6,2.4444444444444446,95,0,0,0,0,0,0,0,0,"16 65 12 2 0 0 0 0 0 0 0",3,"3 4 2 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/channeltools.js",16,3,0,3,0,0,1,1,1,5,0,0,0,0,0,0,0,0,"2 3 0 0 0 0 0 0 0 0 0",1,"1 2 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/controlbox.js",287,16,0,16,0,8,1,17,3.3125,97,0,0,0,0,0,0,0,0,"24 50 22 1 0 0 0 0 0 0 0",3,"5 8 3 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/favicon.js",135,12,0,12,0,3,1,3,1.3333333333333333,33,0,0,0,0,0,0,0,0,"7 18 2 1 2 3 0 0 0 0 0",5,"8 3 0 0 0 1 0 0 0 0 0",5
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/mediamessage.js",241,19,0,19,0,6,1,9,2.210526315789474,71,0,0,0,0,0,0,0,0,"11 50 10 0 0 0 0 0 0 0 0",2,"12 6 1 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/member.js",16,2,0,2,0,0,1,2,1.5,9,0,0,0,0,0,0,0,0,"1 6 1 1 0 0 0 0 0 0 0",3,"1 1 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/memberlist.js",78,7,0,7,0,1,1,4,1.5714285714285714,39,0,0,0,0,0,0,0,0,"15 20 3 1 0 0 0 0 0 0 0",3,"3 4 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/menubox.js",131,14,0,14,0,3,1,3,1.5714285714285714,39,0,0,0,0,1,0,0,0,"10 24 5 0 0 0 0 0 0 0 0",2,"4 9 1 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/networktabs.js",24,3,0,3,0,0,1,1,1,10,0,0,0,0,0,0,0,0,"2 6 0 2 0 0 0 0 0 0 0",3,"1 2 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/nickchangebox.js",39,5,0,5,0,1,1,1,1,25,0,0,0,0,0,0,0,0,"10 12 2 1 0 0 0 0 0 0 0",3,"4 1 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/panel.js",111,7,0,7,0,1,1,6,2.857142857142857,38,0,0,0,0,0,0,0,0,"10 21 6 1 0 0 0 0 0 0 0",3,"2 4 1 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/resizehandler.js",29,4,0,4,0,0,1,2,1.25,13,0,0,0,0,0,0,0,0,"5 4 4 0 0 0 0 0 0 0 0",2,"1 3 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/serverselect.js",321,24,0,24,0,0,1,12,2.375,221,0,0,0,0,0,0,0,0,"69 87 57 8 0 0 0 0 0 0 0",3,"8 15 1 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/statusmessage.js",42,6,0,6,0,1,1,5,2.5,17,0,0,0,0,1,0,0,0,"2 11 4 0 0 0 0 0 0 0 0",2,"3 1 2 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/tabs.js",160,10,0,10,0,2,1,4,2.4,62,0,0,0,0,0,0,0,0,"15 30 12 5 0 0 0 0 0 0 0",3,"2 5 3 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/topicbar.js",43,4,0,4,0,1,1,3,2.25,21,0,0,0,0,0,0,0,0,"5 11 4 1 0 0 0 0 0 0 0",3,"1 3 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/views/userbox.js",94,13,0,13,0,0,1,2,1.2307692307692308,62,0,0,0,0,0,0,0,0,"13 45 4 0 0 0 0 0 0 0 0",2,"1 11 1 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/config.example.js",218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0 1 0 0 0 0 0 0 0 0 0",1,"0 0 0 0 0 0 0 0 0 0 0",0
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/client.js",179,14,4,10,0,5,1,11,2.1333333333333333,47,8,0,0,0,0,0,0,0,"9 24 8 4 1 0 0 1 0 0 0",7,"7 1 4 2 0 0 0 0 0 0 0",3
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/clientcommands.js",172,21,1,20,0,4,1,3,1.9047619047619047,42,1,0,0,0,0,0,0,0,"6 16 19 1 0 0 0 0 0 0 0",3,"0 2 4 14 1 0 0 0 0 0 0",4
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/configuration.js",95,4,0,4,0,0,1,12,3.3333333333333335,25,7,0,3,0,0,0,0,0,"2 19 2 1 1 0 0 0 0 0 0",4,"1 3 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/controlinterface.js",164,14,0,14,0,2,1,9,2.4,49,4,0,0,0,0,0,0,0,"10 33 3 3 0 0 0 0 0 0 0",3,"2 3 8 1 0 0 0 0 0 0 0",3
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/ee.js",23,3,0,3,0,0,1,1,1,8,2,0,0,0,0,0,0,0,"2 2 4 0 0 0 0 0 0 0 0",2,"3 0 0 0 0 0 0 0 0 0 0",0
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/httphandler.js",159,10,0,10,0,5,1,7,2.8,42,6,0,0,1,0,0,0,0,"3 17 16 3 2 1 0 0 0 0 0",5,"0 4 5 1 0 0 0 0 0 0 0",3
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/identd.js",99,7,0,7,0,3,1,10,3.2857142857142856,26,2,0,0,0,0,0,0,0,"9 9 7 1 0 0 0 0 0 0 0",3,"2 5 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/irc/channel.js",296,28,17,11,0,9,1,2,1.0714285714285714,39,3,0,0,0,0,0,0,0,"1 13 23 1 1 0 0 0 0 0 0",4,"9 18 1 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/irc/commands.js",1123,102,5,97,0,5,1,12,1.7941176470588236,278,1,0,0,0,0,0,0,0,"26 112 121 19 0 0 0 0 0 0 0",3,"0 94 7 1 0 0 0 0 0 0 0",3
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/irc/connection.js",797,37,10,27,8,15,1,11,2.8684210526315788,134,15,0,0,0,1,0,0,0,"24 57 45 7 1 0 0 0 0 0 0",4,"10 17 7 2 0 0 0 0 1 0 0",8
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/irc/eventbinder.js",48,4,0,4,0,2,3,3,3,6,1,0,0,0,0,0,0,0,"0 1 5 0 0 0 0 0 0 0 0",2,"0 0 2 1 1 0 0 0 0 0 0",4
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/irc/server.js",257,29,25,4,0,2,1,3,1.0689655172413792,33,3,0,0,0,0,0,0,0,"0 5 26 1 1 0 0 0 0 0 0",4,"1 28 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/irc/state.js",100,11,0,11,3,6,1,3,1.4545454545454546,31,5,0,0,0,0,0,0,0,"3 14 13 1 0 0 0 0 0 0 0",3,"7 1 1 1 0 0 0 1 0 0 0",7
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/irc/user.js",265,26,23,3,0,1,1,2,1.0384615384615385,29,2,0,0,0,0,0,0,0,"0 3 24 1 1 0 0 0 0 0 0",4,"2 23 1 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/kiwi.js",363,29,2,27,0,15,1,3,1.9310344827586208,93,11,0,0,0,1,0,0,0,"17 49 22 2 3 0 0 0 0 0 0",4,"10 17 1 1 0 0 0 0 0 0 0",3
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/modules.js",167,12,5,7,0,2,1,6,1.8461538461538463,21,6,0,0,0,0,0,0,0,"5 12 4 0 0 0 0 0 0 0 0",2,"2 7 3 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/plugininterface.js",237,16,7,9,0,3,1,10,2.5625,17,0,0,0,0,0,0,0,0,"7 9 0 1 0 0 0 0 0 0 0",3,"6 4 3 3 0 0 0 0 0 0 0",3
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/proxy.js",431,28,4,24,0,3,1,6,2.1724137931034484,127,6,0,4,0,0,0,0,0,"26 68 28 5 0 0 0 0 0 0 0",3,"15 8 1 3 1 0 0 0 0 0 0",4
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/rehash.js",31,3,1,2,0,1,1,1,1,8,4,0,0,0,0,0,0,0,"0 5 3 0 0 0 0 0 0 0 0",2,"2 1 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/server.js",70,1,0,1,0,1,1,1,1,19,3,0,0,0,0,0,0,0,"4 15 0 0 0 0 0 0 0 0 0",1,"0 1 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/settingsgenerator.js",255,14,6,8,0,6,1,5,2.2,51,3,0,0,3,0,0,0,0,"17 22 11 1 0 0 0 0 0 0 0",3,"3 1 9 1 0 0 0 0 0 0 0",3
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/weblistener.js",190,14,3,11,0,10,1,9,2.2666666666666666,59,18,0,4,0,0,0,0,0,"1 33 23 2 0 0 0 0 0 0 0",3,"3 5 5 1 0 0 0 0 0 0 0",3
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server/websocketrpc.js",189,13,1,12,2,0,1,7,1.8571428571428572,20,0,0,0,0,0,0,0,0,"3 9 7 1 0 0 0 0 0 0 0",3,"6 7 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server_modules/control.js",89,10,1,9,0,4,1,1,1,23,5,0,0,0,0,0,0,0,"7 9 7 0 0 0 0 0 0 0 0",2,"5 4 1 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server_modules/dnsbl.js",62,5,2,3,0,3,1,2,1.4,15,2,0,0,0,0,0,0,0,"4 7 4 0 0 0 0 0 0 0 0",2,"0 2 3 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server_modules/example.js",32,4,0,4,0,4,1,1,1,10,1,0,0,0,0,0,0,0,"0 1 9 0 0 0 0 0 0 0 0",2,"0 0 4 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/server_modules/web_agent_debugger.js",22,1,0,1,0,1,1,1,1,6,2,0,0,0,0,0,0,0,"2 3 1 0 0 0 0 0 0 0 0",2,"1 0 0 0 0 0 0 0 0 0 0",0
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/app.js",391,31,12,19,0,17,1,11,2.3548387096774195,214,34,0,1,0,0,0,0,0,"42 131 38 3 0 0 0 0 0 0 0",3,"9 20 1 1 0 0 0 0 0 0 0",3
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/bcrypt.js",43,7,2,5,0,3,1,3,1.5714285714285714,18,2,0,0,0,0,0,0,0,"4 6 6 2 0 0 0 0 0 0 0",3,"0 2 5 0 0 0 0 0 0 0 0",2
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/install/databases.js",104,8,3,5,0,2,1,8,2.75,29,5,0,0,0,0,0,0,0,"0 17 10 2 0 0 0 0 0 0 0",3,"0 2 4 1 1 0 0 0 0 0 0",4
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/loader.js",339,28,5,23,0,14,1,12,2.1724137931034484,112,11,0,4,1,1,0,0,0,"20 68 24 0 0 0 0 0 0 0 0",2,"7 18 2 1 0 0 0 0 0 0 0",3
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/minifier.js",80,8,2,6,0,5,1,2,1.4444444444444444,27,7,0,1,0,0,0,0,0,"0 18 7 2 0 0 0 0 0 0 0",3,"1 3 3 1 0 0 0 0 0 0 0",3
